page,id,text,confidence,bbox
2,5,ROC No.1072825-A,0.9625651240348816,"[[400.0, 370.0], [683.0, 386.0], [681.0, 417.0], [398.0, 402.0]]"
2,6,GST No.:000584089600,0.9610722661018372,"[[394.0, 400.0], [693.0, 415.0], [692.0, 444.0], [392.0, 429.0]]"
2,7,Te1:03-3362 4395 Fax:03-3362 4395,0.9256525039672852,"[[307.0, 425.0], [779.0, 444.0], [778.0, 473.0], [306.0, 454.0]]"
2,8,TAX INVOICE,0.9824796319007874,"[[446.0, 487.0], [637.0, 496.0], [635.0, 525.0], [445.0, 516.0]]"
2,9,Station: CASHIER,0.9617173671722412,"[[249.0, 522.0], [483.0, 534.0], [482.0, 563.0], [247.0, 552.0]]"
2,10,Bil1 No: LCS03908,0.9098495244979858,"[[574.0, 535.0], [817.0, 546.0], [816.0, 575.0], [573.0, 564.0]]"
2,11,Cas rANGELA,0.94976806640625,"[[245.0, 547.0], [469.0, 559.0], [467.0, 594.0], [243.0, 583.0]]"
2,12,Cover :1,0.9309791922569275,"[[572.0, 564.0], [721.0, 571.0], [719.0, 603.0], [570.0, 595.0]]"
2,13,Bil1 Date :20/12/2017,0.9142407178878784,"[[244.0, 577.0], [567.0, 588.0], [566.0, 623.0], [243.0, 612.0]]"
2,14,Bill Start: 20/12/2017 07:10:35 PM,0.9086747765541077,"[[244.0, 604.0], [735.0, 623.0], [734.0, 659.0], [243.0, 639.0]]"
2,15,Code,0.9804347157478333,"[[243.0, 660.0], [309.0, 665.0], [307.0, 697.0], [241.0, 691.0]]"
2,16,:300-C0001,0.9584943652153015,"[[387.0, 668.0], [546.0, 673.0], [545.0, 702.0], [386.0, 698.0]]"
2,17,Name,0.9934790134429932,"[[244.0, 689.0], [312.0, 697.0], [308.0, 728.0], [240.0, 720.0]]"
2,18,: CASH,0.9155752658843994,"[[387.0, 695.0], [481.0, 700.0], [480.0, 730.0], [386.0, 725.0]]"
2,19,Address,0.9985938668251038,"[[243.0, 718.0], [354.0, 728.0], [351.0, 759.0], [241.0, 749.0]]"
2,20,GST No.,0.9305105209350586,"[[243.0, 802.0], [341.0, 807.0], [339.0, 838.0], [241.0, 833.0]]"
2,21,CH50514,0.9971318244934082,"[[241.0, 892.0], [346.0, 892.0], [346.0, 921.0], [241.0, 921.0]]"
2,22,SR,0.9936157464981079,"[[770.0, 902.0], [812.0, 902.0], [812.0, 935.0], [770.0, 935.0]]"
2,23,T5 JOINT 2PIN 2PCS,0.882544219493866,"[[239.0, 919.0], [502.0, 921.0], [502.0, 950.0], [239.0, 948.0]]"
2,24,*RM,0.9356712698936462,"[[238.0, 941.0], [364.0, 948.0], [362.0, 978.0], [237.0, 970.0]]"
2,25,2.83UNI,0.9152145981788635,"[[393.0, 948.0], [546.0, 952.0], [545.0, 982.0], [392.0, 977.0]]"
2,26,0.17=RM,0.9695330262184143,"[[576.0, 950.0], [699.0, 955.0], [698.0, 984.0], [575.0, 979.0]]"
2,27,2.83,0.9963025450706482,"[[745.0, 949.0], [811.0, 955.0], [808.0, 988.0], [742.0, 983.0]]"
2,28,YT51874,0.9909791350364685,"[[240.0, 970.0], [347.0, 975.0], [345.0, 1005.0], [239.0, 1000.0]]"
2,29,SR,0.993022084236145,"[[772.0, 985.0], [808.0, 985.0], [808.0, 1015.0], [772.0, 1015.0]]"
2,30,YE30 BK 7W WW LED TRACK LIGHT,0.90749591588974,"[[240.0, 1000.0], [653.0, 1006.0], [653.0, 1038.0], [239.0, 1031.0]]"
2,31,2,0.6568143367767334,"[[241.0, 1035.0], [264.0, 1035.0], [264.0, 1054.0], [241.0, 1054.0]]"
2,32,*RM33.02UNI,0.940584123134613,"[[259.0, 1029.0], [554.0, 1036.0], [554.0, 1065.0], [258.0, 1058.0]]"
2,33,3.96=RM,0.9885749816894531,"[[573.0, 1038.0], [697.0, 1038.0], [697.0, 1067.0], [573.0, 1067.0]]"
2,34,66.04,0.9919013977050781,"[[730.0, 1035.0], [809.0, 1040.0], [807.0, 1071.0], [728.0, 1066.0]]"
2,35,Sub Total,0.9527687430381775,"[[237.0, 1085.0], [372.0, 1085.0], [372.0, 1115.0], [237.0, 1115.0]]"
2,36,RM,0.9971210360527039,"[[661.0, 1094.0], [697.0, 1094.0], [697.0, 1121.0], [661.0, 1121.0]]"
2,37,68.87,0.996756911277771,"[[728.0, 1094.0], [808.0, 1094.0], [808.0, 1125.0], [728.0, 1125.0]]"
2,38,Service Charge,0.9680609703063965,"[[236.0, 1110.0], [443.0, 1117.0], [442.0, 1148.0], [235.0, 1141.0]]"
2,39,RM,0.9980899691581726,"[[661.0, 1121.0], [695.0, 1121.0], [695.0, 1148.0], [661.0, 1148.0]]"
2,40,0.00,0.9948744773864746,"[[741.0, 1116.0], [807.0, 1122.0], [804.0, 1153.0], [738.0, 1147.0]]"
2,41,GST/TAX 6%,0.9600064158439636,"[[239.0, 1146.0], [384.0, 1146.0], [384.0, 1169.0], [239.0, 1169.0]]"
2,42,RM,0.997782289981842,"[[661.0, 1148.0], [695.0, 1148.0], [695.0, 1175.0], [661.0, 1175.0]]"
2,43,4.13,0.9974244832992554,"[[743.0, 1148.0], [806.0, 1148.0], [806.0, 1179.0], [743.0, 1179.0]]"
2,44,RM,0.9959378242492676,"[[528.0, 1183.0], [572.0, 1189.0], [568.0, 1224.0], [524.0, 1219.0]]"
2,45,73.00,0.9974992871284485,"[[617.0, 1190.0], [701.0, 1190.0], [701.0, 1221.0], [617.0, 1221.0]]"
2,46,CA.,0.8379333019256592,"[[236.0, 1211.0], [293.0, 1218.0], [289.0, 1251.0], [232.0, 1244.0]]"
2,47,:,0.9502941966056824,"[[340.0, 1225.0], [357.0, 1225.0], [357.0, 1244.0], [340.0, 1244.0]]"
2,48,RM,0.9966506958007812,"[[528.0, 1216.0], [572.0, 1221.0], [568.0, 1256.0], [524.0, 1251.0]]"
2,49,73.00,0.9970530271530151,"[[617.0, 1221.0], [701.0, 1221.0], [701.0, 1252.0], [617.0, 1252.0]]"
2,50,CHANGE:,0.9922703504562378,"[[234.0, 1245.0], [359.0, 1250.0], [358.0, 1282.0], [233.0, 1277.0]]"
2,51,RM,0.9952027201652527,"[[525.0, 1250.0], [571.0, 1250.0], [571.0, 1283.0], [525.0, 1283.0]]"
2,52,0.00,0.9980316162109375,"[[628.0, 1252.0], [701.0, 1252.0], [701.0, 1283.0], [628.0, 1283.0]]"
2,53,Item Count:2,0.93963223695755,"[[235.0, 1321.0], [426.0, 1321.0], [426.0, 1350.0], [235.0, 1350.0]]"
2,54,Qty Count:3.0,0.9348065853118896,"[[235.0, 1350.0], [451.0, 1350.0], [451.0, 1379.0], [235.0, 1379.0]]"
2,55,Closed Bi11:20/12/2017 07:10:51PM,0.909784197807312,"[[233.0, 1402.0], [731.0, 1404.0], [730.0, 1433.0], [233.0, 1431.0]]"
2,56,"Thank You, Please come again.",0.9486434459686279,"[[231.0, 1439.0], [643.0, 1448.0], [642.0, 1482.0], [231.0, 1473.0]]"
2,57,"Goods Sold are not refundable,returnable",0.9586858749389648,"[[233.0, 1473.0], [798.0, 1475.0], [798.0, 1504.0], [233.0, 1502.0]]"
2,58,BANK ACC MBB 5128 4851 2118,0.9154981970787048,"[[233.0, 1500.0], [617.0, 1502.0], [617.0, 1531.0], [233.0, 1529.0]]"
2,59,BANK ACC MBB 5626 4732 1744,0.9295936822891235,"[[231.0, 1527.0], [619.0, 1531.0], [619.0, 1558.0], [231.0, 1554.0]]"
2,60,BANK ACC AMBANK 888 100 123 3706,0.9076368808746338,"[[233.0, 1558.0], [686.0, 1558.0], [686.0, 1587.0], [233.0, 1587.0]]"
2,61,GST Summary,0.9848875403404236,"[[229.0, 1593.0], [393.0, 1598.0], [392.0, 1629.0], [229.0, 1625.0]]"
2,62,Amount(RM),0.9405297040939331,"[[428.0, 1600.0], [571.0, 1600.0], [571.0, 1629.0], [428.0, 1629.0]]"
2,63,TaxRM),0.935276210308075,"[[611.0, 1600.0], [710.0, 1600.0], [710.0, 1629.0], [611.0, 1629.0]]"
2,64,SR@6%,0.9080075025558472,"[[231.0, 1654.0], [338.0, 1654.0], [338.0, 1683.0], [231.0, 1683.0]]"
2,65,68.87,0.9964505434036255,"[[498.0, 1656.0], [575.0, 1656.0], [575.0, 1685.0], [498.0, 1685.0]]"
2,66,4.13,0.9974550008773804,"[[651.0, 1654.0], [716.0, 1654.0], [716.0, 1685.0], [651.0, 1685.0]]"
2,67,ZR/OS/EZ,0.991951584815979,"[[229.0, 1681.0], [348.0, 1681.0], [348.0, 1710.0], [229.0, 1710.0]]"
2,68,0.00,0.9968789219856262,"[[508.0, 1683.0], [575.0, 1683.0], [575.0, 1715.0], [508.0, 1715.0]]"
2,69,0.00,0.9954229593276978,"[[649.0, 1681.0], [714.0, 1681.0], [714.0, 1712.0], [649.0, 1712.0]]"
